Ref;Val;Package;PosX(mm);PosY(mm);Rot;Side
C1;0.1uF;C_0603_1608Metric;37,42;13,54;90;top
CN1;FFC_FPC_30p;AMPHENOL_F32Q-1A7H1-11030;63,1;35;90;top
P1;Conn_02x23_Odd_Even;HEADER_2X23_P2.54MM;29,8;51,63;180;top
P2;Conn_02x23_Odd_Even;HEADER_2X23_P2.54MM;29,8;3,37;180;top
P3;Screw_Terminal_01x02;TERM_BLK_2P_5MM_HORIZONTAL;62;14;270;top
R1;120;R_0603_1608Metric_Pad0.98x0.95mm;53,9;13,73;270;top
R2;10k;R_0603_1608Metric_Pad0.98x0.95mm;49,15;18,71;90;top
U1;SN65HVD230;SOIC-8_3.9x4.9mm_P1.27mm;43,38;13,83;0;top
